index,team_abbr,opp_abbr,pf,pa,pace,location,datetime,true_pace
2022-03-12-23-long-beach-state,CAL-STATE-FULLERTON,LONG-BEACH-STATE,72,71,70,Neutral,3/12/22,FALSE
2022-03-12-23-long-beach-state,LONG-BEACH-STATE,CAL-STATE-FULLERTON,71,72,70,Neutral,3/12/22,FALSE
2021-12-01-19-evansville,EVANSVILLE,SOUTHERN-ILLINOIS,52,54,51.5,Home,12/1/21,TRUE
2021-11-28-10-drake,DRAKE,NORTH-TEXAS,54,57,53.7,Neutral,11/28/21,TRUE
2022-01-20-19-north-texas,CHARLOTTE,NORTH-TEXAS,51,65,53.9,Away,1/20/22,TRUE
2022-01-22-19-wofford,FURMAN,WOFFORD,75,50,54,Away,1/22/22,TRUE
2021-12-03-20-virginia,PITTSBURGH,VIRGINIA,56,57,54,Away,12/3/21,TRUE
2021-11-13-12-south-florida,GEORGIA-SOUTHERN,SOUTH-FLORIDA,53,41,54.8,Away,11/13/21,TRUE
2021-11-27-16-oregon-state,OREGON-STATE,PENN-STATE,45,60,54.8,Neutral,11/27/21,TRUE
2022-03-10-18-north-texas,NORTH-TEXAS,RICE,68,50,54.9,Neutral,3/10/22,TRUE
2022-03-10-18-north-texas,RICE,NORTH-TEXAS,50,68,54.9,Neutral,3/10/22,TRUE
2022-02-05-17-loyola-md,LOYOLA-MD,NAVY,55,56,55.3,Home,2/5/22,TRUE
2022-01-03-20-arkansas-pine-bluff,ALABAMA-AM,ARKANSAS-PINE-BLUFF,70,50,55.4,Away,1/3/22,TRUE
2022-02-05-14-northeastern,NORTHEASTERN,TOWSON,58,53,55.5,Home,2/5/22,TRUE
2022-02-17-19-florida-atlantic,FLORIDA-ATLANTIC,NORTH-TEXAS,51,54,55.6,Home,2/17/22,TRUE
2022-02-17-19-florida-atlantic,NORTH-TEXAS,FLORIDA-ATLANTIC,54,51,55.6,Away,2/17/22,TRUE
2022-01-27-20-southern-illinois,LOYOLA-IL,SOUTHERN-ILLINOIS,44,39,55.7,Away,1/27/22,TRUE
2022-01-29-20-texas,TENNESSEE,TEXAS,51,52,55.7,Away,1/29/22,TRUE
2022-02-19-22-fresno-state,FRESNO-STATE,SAN-DIEGO-STATE,44,61,55.7,Home,2/19/22,TRUE
2022-02-19-22-fresno-state,SAN-DIEGO-STATE,FRESNO-STATE,61,44,55.7,Away,2/19/22,TRUE
2022-02-09-19-dayton,DAYTON,DUQUESNE,75,54,55.8,Home,2/9/22,TRUE
2021-12-05-16-san-diego,CAL-POLY,SAN-DIEGO,51,52,55.9,Away,12/5/21,TRUE
2021-12-11-22-wyoming,UTAH-VALLEY,WYOMING,62,74,55.9,Away,12/11/21,TRUE
2022-02-01-23-san-jose-state,FRESNO-STATE,SAN-JOSE-STATE,73,43,56,Away,2/1/22,TRUE
2021-11-18-18-providence,NEW-HAMPSHIRE,PROVIDENCE,58,69,56,Away,11/18/21,TRUE
2022-01-12-21-virginia,VIRGINIA-TECH,VIRGINIA,52,54,56,Away,1/12/22,TRUE
2022-02-22-21-air-force,AIR-FORCE,FRESNO-STATE,40,65,56,Home,2/22/22,TRUE
2022-02-22-21-air-force,FRESNO-STATE,AIR-FORCE,65,40,56,Away,2/22/22,TRUE
2022-01-22-16-north-carolina-state,NORTH-CAROLINA-STATE,VIRGINIA,77,63,56.1,Home,1/22/22,TRUE
2022-02-07-19-virginia-tech,PITTSBURGH,VIRGINIA-TECH,47,74,56.1,Away,2/7/22,TRUE
2021-11-28-13-boston-university,BOSTON-UNIVERSITY,MERRIMACK,61,60,56.2,Home,11/28/21,TRUE
2022-01-22-12-minnesota,MINNESOTA,RUTGERS,68,65,56.2,Home,1/22/22,TRUE
2022-02-03-19-central-connecticut-state,CENTRAL-CONNECTICUT-STATE,WAGNER,52,54,56.4,Home,2/3/22,TRUE
2022-02-09-19-rutgers,OHIO-STATE,RUTGERS,64,66,56.4,Away,2/9/22,TRUE
2022-02-19-18-jacksonville,JACKSONVILLE,KENNESAW-STATE,59,56,56.4,Home,2/19/22,TRUE
2022-02-19-18-jacksonville,KENNESAW-STATE,JACKSONVILLE,56,59,56.4,Away,2/19/22,TRUE
2021-12-21-19-high-point,FLORIDA-ATLANTIC,HIGH-POINT,52,55,56.5,Away,12/21/21,TRUE
2022-02-23-20-south-alabama,SOUTH-ALABAMA,TEXAS-STATE,52,55,56.5,Home,2/23/22,TRUE
2022-02-23-20-south-alabama,TEXAS-STATE,SOUTH-ALABAMA,55,52,56.5,Away,2/23/22,TRUE
2021-12-21-17-maine,MAINE,MERRIMACK,47,49,56.6,Home,12/21/21,TRUE
2022-01-31-19-austin-peay,AUSTIN-PEAY,SOUTHERN-ILLINOIS-EDWARDSVILLE,68,63,56.7,Home,1/31/22,TRUE
2021-11-20-16-virginia-commonwealth,CHATTANOOGA,VIRGINIA-COMMONWEALTH,56,54,56.7,Away,11/20/21,TRUE
2021-11-23-19-providence,PROVIDENCE,VIRGINIA,40,58,56.7,Neutral,11/23/21,TRUE
2022-02-26-20-california,CALIFORNIA,STANFORD,53,39,56.7,Home,2/26/22,TRUE
2022-02-26-20-california,STANFORD,CALIFORNIA,39,53,56.7,Away,2/26/22,TRUE
2022-01-22-14-loyola-md,AMERICAN,LOYOLA-MD,73,78,56.8,Away,1/22/22,TRUE
2022-03-05-18-liberty,BELLARMINE,LIBERTY,53,50,56.8,Away,3/5/22,TRUE
2022-03-05-18-liberty,LIBERTY,BELLARMINE,50,53,56.8,Home,3/5/22,TRUE
