
index,team_abbr,opp_abbr,pf,pa,pace,location,datetime,true_pace

2021-11-12-20-texas-am,ABILENE-CHRISTIAN,texas-am,80,81,64.3,Away,2021-11-12,True

2021-11-16-20-texas-arlington,ABILENE-CHRISTIAN,texas-arlington,80,71,72.6,Away,2021-11-16,True

2021-11-27-19-abilene-christian,ABILENE-CHRISTIAN,McMurry,89,54,78.0,Home,2021-11-27,True

2021-11-29-20-abilene-christian,ABILENE-CHRISTIAN,Schreiner,88,47,76.1,Home,2021-11-29,True

2021-12-01-20-abilene-christian,ABILENE-CHRISTIAN,Dallas,108,65,79.3,Home,2021-12-01,True

2021-12-04-16-abilene-christian,ABILENE-CHRISTIAN,incarnate-word,98,65,73.7,Home,2021-12-04,True

2021-12-11-19-abilene-christian,ABILENE-CHRISTIAN,drexel,73,56,73.5,Home,2021-12-11,True

2021-12-15-20-abilene-christian,ABILENE-CHRISTIAN,cal-state-bakersfield,69,59,75.8,Home,2021-12-15,True

2021-12-19-16-abilene-christian,ABILENE-CHRISTIAN,Howard Payne,112,41,80.8,Home,2021-12-19,True

2021-12-22-20-abilene-christian,ABILENE-CHRISTIAN,longwood,74,58,77.0,Home,2021-12-22,True

2021-12-30-20-utah-valley,ABILENE-CHRISTIAN,utah-valley,80,76,63.5,Away,2021-12-30,True

2022-01-01-21-dixie-state,ABILENE-CHRISTIAN,dixie-state,64,50,74.6,Away,2022-01-01,True

2022-01-06-20-abilene-christian,ABILENE-CHRISTIAN,stephen-f-austin,58,64,73.1,Home,2022-01-06,True

2022-01-08-19-abilene-christian,ABILENE-CHRISTIAN,sam-houston-state,63,65,62.2,Home,2022-01-08,True

2022-01-13-21-grand-canyon,ABILENE-CHRISTIAN,grand-canyon,68,95,70.8,Away,2022-01-13,True

2022-01-15-18-new-mexico-state,ABILENE-CHRISTIAN,new-mexico-state,63,77,65.5,Away,2022-01-15,True

