rank,team,adj em rating,em with recency bias,conference,wins,losses
1,gonzaga,33.85,34.71,wcc,27,3
2,baylor,31.26,32.51,big-12,27,6
3,houston,32.49,32.26,aac,30,5
4,tennessee,32.41,31.74,sec,27,7
5,kansas,30.89,29.74,big-12,29,6
6,arizona,29.01,28.28,pac-12,32,3
7,duke,26.03,27.71,acc,29,6
8,ucla,27.87,27.62,pac-12,26,7
9,auburn,28.52,27.51,sec,28,5
10,kentucky,25.95,27.02,sec,26,8
11,texas tech,27.6,27.0,big-12,26,9
12,arkansas,25.12,26.76,sec,26,8
13,iowa,26.15,25.68,big-ten,26,10
14,purdue,25.98,25.16,big-ten,28,7
15,texas,24.11,24.19,big-12,22,11
16,villanova,24.9,24.09,big-east,27,7
17,louisiana state,21.66,23.43,sec,22,12
18,illinois,23.23,22.94,big-ten,23,9
19,oklahoma,22.49,22.28,big-12,19,15
20,memphis,22.55,22.19,aac,22,10
21,connecticut,22.58,22.1,big-east,23,10
22,saint marys ca,21.69,22.07,wcc,26,7
23,boise state,19.53,21.0,mwc,27,8
24,north carolina,21.32,20.85,acc,25,9
25,ohio state,20.53,20.51,big-ten,20,11
26,wake forest,20.57,20.44,acc,24,9
27,iowa state,19.33,20.29,big-12,21,12
28,san francisco,19.9,19.95,wcc,24,10
29,providence,20.08,19.65,big-east,26,5
30,texas christian,19.52,19.28,big-12,21,12
31,colorado state,18.86,19.24,mwc,25,6
32,oklahoma state,18.08,19.01,big-12,15,15
33,alabama birmingham,16.47,18.96,cusa,27,8
34,indiana,19.23,18.94,big-ten,21,14
35,san diego state,18.6,18.6,mwc,23,9
36,virginia tech,17.99,18.13,acc,23,13
37,michigan state,18.16,18.1,big-ten,23,12
38,michigan,18.46,18.06,big-ten,18,14
39,florida,17.01,17.95,sec,20,13
40,southern methodist,18.04,17.7,aac,24,8
41,loyola il,17.58,17.69,mvc,25,8
42,creighton,17.72,17.58,big-east,23,11
43,texas am,17.81,16.89,sec,24,12
44,wisconsin,17.04,16.71,big-ten,25,7
45,alabama,17.23,16.63,sec,19,14
46,oregon,16.73,16.5,pac-12,20,14
47,st johns ny,17.27,16.43,big-east,17,15
48,colorado,16.31,16.32,pac-12,21,12
49,brigham young,16.78,16.11,wcc,23,10
50,vanderbilt,16.73,16.03,sec,18,16
51,miami fl,16.49,16.01,acc,24,10
52,davidson,16.4,15.98,atlantic-10,27,7
53,notre dame,16.22,15.83,acc,24,10
54,marquette,14.83,15.81,big-east,19,13
55,virginia commonwealth,16.06,15.61,atlantic-10,22,9
56,southern california,15.61,15.57,pac-12,26,8
57,kansas state,15.38,15.28,big-12,14,17
58,maryland,15.42,15.11,big-ten,15,17
59,seton hall,15.52,15.01,big-east,21,11
60,murray state,13.99,14.8,ovc,31,2
61,new mexico state,14.53,14.68,wac,27,6
62,west virginia,15.53,14.65,big-12,16,17
63,saint louis,15.32,14.63,atlantic-10,23,12
64,virginia,15.06,14.59,acc,20,13
65,st bonaventure,14.49,14.31,atlantic-10,21,9
66,north texas,14.26,14.25,cusa,25,6
67,utah state,14.55,14.2,mwc,18,16
68,mississippi state,14.29,14.18,sec,18,16
69,dayton,14.67,14.17,atlantic-10,24,10
70,washington state,14.72,14.15,pac-12,20,14
71,richmond,14.14,13.73,atlantic-10,24,12
72,arizona state,13.62,13.34,pac-12,14,17
73,clemson,13.72,12.98,acc,17,16
74,penn state,13.85,12.94,big-ten,14,17
75,wyoming,12.56,12.43,mwc,25,9
76,missouri state,11.88,12.35,mvc,23,11
77,vermont,11.56,12.34,america-east,28,6
78,rutgers,12.63,12.31,big-ten,18,14
79,northwestern,12.5,12.23,big-ten,15,16
80,wichita state,12.7,12.18,aac,15,13
81,syracuse,12.64,12.08,acc,16,17
82,santa clara,12.83,12.08,wcc,21,12
83,xavier,12.12,11.94,big-east,19,13
