seed,team,round32,sweet16,elite8,final4,championship,champ,implied value (of pot)
1,gonzaga,98.74%,85.77%,67.92%,53.91%,39.11%,26.80%,11.23%
1,kansas,99.32%,81.61%,57.24%,38.91%,21.94%,11.31%,7.45%
3,tennessee,98.41%,80.06%,59.92%,34.96%,21.16%,11.12%,7.26%
1,baylor,98.94%,80.77%,49.36%,31.51%,14.99%,7.82%,6.03%
2,auburn,95.83%,78.70%,56.54%,27.88%,12.78%,5.45%,5.66%
1,arizona,98.46%,82.39%,44.56%,24.12%,13.18%,6.19%,5.28%
5,houston,84.85%,62.31%,37.85%,22.04%,12.89%,6.63%,4.74%
2,kentucky,95.57%,71.68%,45.31%,22.33%,9.40%,4.26%,4.64%
4,ucla,96.34%,72.78%,37.82%,22.40%,9.86%,4.59%,4.50%
2,duke,95.45%,72.47%,42.57%,14.64%,6.73%,2.74%,3.88%
3,texas tech,95.90%,71.13%,39.57%,12.79%,5.59%,2.12%,3.56%
5,iowa,86.13%,64.43%,28.01%,15.81%,6.86%,2.70%,3.38%
3,purdue,96.40%,62.72%,30.70%,12.83%,4.44%,1.65%,3.08%
4,arkansas,89.38%,58.57%,17.93%,9.99%,4.66%,2.00%,2.55%
2,villanova,96.21%,62.52%,22.75%,8.68%,3.41%,1.19%,2.54%
6,louisiana state,68.36%,48.77%,21.46%,7.77%,2.53%,0.75%,2.08%
,illinois,89.34%,31.51%,12.72%,4.82%,1.84%,0.60%,1.55%
,connecticut,79.83%,35.49%,8.31%,3.72%,1.34%,0.43%,1.31%
,wisconsin,86.94%,32.96%,9.58%,2.11%,0.42%,0.07%,1.18%
,san francisco,74.77%,23.86%,10.03%,2.90%,0.69%,0.17%,1.11%
,providence,78.97%,27.85%,7.34%,2.72%,0.67%,0.15%,1.08%
,texas,61.28%,25.15%,9.69%,3.11%,0.84%,0.25%,1.07%
,alabama,65.95%,21.45%,7.63%,1.39%,0.35%,0.07%,0.87%
,saint marys ca,58.56%,16.89%,4.98%,1.73%,0.42%,0.10%,0.73%
,ohio state,51.97%,20.04%,5.11%,1.33%,0.37%,0.08%,0.71%
,michigan state,58.81%,17.27%,5.87%,0.94%,0.22%,0.05%,0.71%
,colorado state,57.12%,12.43%,5.53%,1.49%,0.45%,0.12%,0.69%
,san diego state,55.62%,11.06%,4.17%,1.50%,0.34%,0.07%,0.61%
,loyola il,48.04%,17.15%,4.01%,0.93%,0.23%,0.04%,0.59%
,north carolina,56.80%,11.87%,3.57%,1.09%,0.24%,0.05%,0.58%
,southern california,53.88%,11.72%,4.50%,0.87%,0.15%,0.03%,0.57%
,boise state,53.14%,7.86%,3.09%,1.27%,0.40%,0.12%,0.53%
,iowa state,31.65%,17.10%,4.73%,1.01%,0.19%,0.03%,0.53%
,virginia tech,38.72%,11.89%,3.50%,0.79%,0.16%,0.02%,0.47%
,texas christian,54.43%,10.06%,2.13%,0.46%,0.11%,0.02%,0.47%
,miami fl,46.12%,8.87%,3.05%,0.54%,0.09%,0.01%,0.44%
