seed,team,round2,qtrs,semis,finals,champ
1,davidson,1.0,1.0,0.8373,0.4607,0.2614
2,dayton,1.0,1.0,0.8925,0.495,0.2475
3,st bonaventure,1.0,1.0,0.658,0.3489,0.1678
4,virginia commonwealth,1.0,1.0,0.5248,0.2606,0.1318
5,saint louis,1.0,0.8666,0.4561,0.2402,0.1323
6,richmond,1.0,0.7251,0.2872,0.1246,0.0451
7,george washington,1.0,0.4442,0.043,0.0049,0.0007
8,fordham,1.0,0.3706,0.046,0.0069,0.0014
9,george mason,1.0,0.6294,0.1167,0.0275,0.0065
10,massachusetts,1.0,0.5558,0.0645,0.0113,0.0015
11,rhode island,0.8723,0.2681,0.0545,0.0153,0.0031
12,la salle,0.3059,0.0249,0.0024,0.0003,0.0
13,saint josephs,0.6941,0.1085,0.0167,0.0038,0.0009
14,duquesne,0.1277,0.0068,0.0003,0.0,0.0
