seed,team,round2,qtrs,semis,finals,champ
1,duke,1.0,1.0,0.92,0.7184,0.5916
2,notre dame,1.0,1.0,0.5462,0.2141,0.0445
3,north carolina,1.0,1.0,0.698,0.4717,0.1436
4,miami fl,1.0,1.0,0.3267,0.0562,0.0237
5,wake forest,1.0,0.9215,0.6581,0.2035,0.131
6,virginia,1.0,0.767,0.2746,0.1418,0.0284
7,virginia tech,1.0,0.6222,0.3097,0.1249,0.0253
8,florida state,1.0,0.5053,0.0423,0.011,0.0023
9,syracuse,1.0,0.4947,0.0377,0.0098,0.0028
10,clemson,0.6956,0.3005,0.1266,0.038,0.0061
11,louisville,0.5451,0.1398,0.0183,0.0045,0.0002
12,pittsburgh,0.4104,0.0256,0.0038,0.0002,0.0
13,boston college,0.5896,0.0529,0.0114,0.0009,0.0001
14,georgia tech,0.4549,0.0932,0.0091,0.0015,0.0001
15,north carolina state,0.3044,0.0773,0.0175,0.0035,0.0003
